id,tag_id,taggable_id,taggable_type,tagger_id,tagger_type,context,created_at
35,6,10479,Stone,,,,2012-08-20 16:34:12.145964
36,6,10478,Stone,,,,2012-08-20 16:34:12.169575
37,6,10477,Stone,,,,2012-08-20 16:34:12.194008
38,6,10476,Stone,,,,2012-08-20 16:34:12.21857
39,6,10475,Stone,,,,2012-08-20 16:34:12.243054
40,6,10474,Stone,,,,2012-08-20 16:34:12.266669
41,6,10473,Stone,,,,2012-08-20 16:34:12.291389
42,6,10472,Stone,,,,2012-08-20 16:34:12.3182
43,6,10471,Stone,,,,2012-08-20 16:34:12.341443
44,6,10470,Stone,,,,2012-08-20 16:34:12.36638
45,6,10469,Stone,,,,2012-08-20 16:34:12.393509
46,6,10468,Stone,,,,2012-08-20 16:34:12.418463
47,6,10467,Stone,,,,2012-08-20 16:34:12.443519
48,6,10466,Stone,,,,2012-08-20 16:34:12.469309
49,6,10465,Stone,,,,2012-08-20 16:34:12.494654
50,6,10464,Stone,,,,2012-08-20 16:34:12.517531
51,6,10463,Stone,,,,2012-08-20 16:34:12.541822
52,6,10462,Stone,,,,2012-08-20 16:34:12.567687
53,6,10461,Stone,,,,2012-08-20 16:34:12.592128
54,6,10460,Stone,,,,2012-08-20 16:34:12.616557
55,6,10459,Stone,,,,2012-08-20 16:34:12.642143
56,6,10458,Stone,,,,2012-08-20 16:34:12.668557
57,6,10457,Stone,,,,2012-08-20 16:34:12.693508
58,6,10456,Stone,,,,2012-08-20 16:34:12.718591
59,6,10455,Stone,,,,2012-08-20 16:34:12.744347
60,6,10454,Stone,,,,2012-08-20 16:34:12.769656
61,6,10453,Stone,,,,2012-08-20 16:34:12.793612
62,6,10452,Stone,,,,2012-08-20 16:34:12.818606
63,6,10451,Stone,,,,2012-08-20 16:34:12.844448
64,6,10450,Stone,,,,2012-08-20 16:34:12.874959
65,6,10480,Stone,,,,2012-08-20 16:42:49.279442
66,6,10481,Stone,,,,2012-08-20 16:42:49.472635
67,6,10482,Stone,,,,2012-08-20 16:42:49.500527
68,6,10483,Stone,,,,2012-08-20 16:42:49.52887
69,6,10484,Stone,,,,2012-08-20 16:42:49.553877
70,6,10485,Stone,,,,2012-08-20 16:42:49.578841
71,7,10450,Stone,,,,2012-08-20 16:51:58.230334
72,7,10451,Stone,,,,2012-08-20 16:51:58.265541
73,7,10452,Stone,,,,2012-08-20 16:51:58.290242
74,7,10454,Stone,,,,2012-08-20 16:51:58.315333
75,7,10455,Stone,,,,2012-08-20 16:51:58.340389
76,7,10456,Stone,,,,2012-08-20 16:51:58.365556
77,7,10457,Stone,,,,2012-08-20 16:51:58.390548
78,7,10458,Stone,,,,2012-08-20 16:51:58.415348
79,7,10459,Stone,,,,2012-08-20 16:51:58.44103
80,7,10460,Stone,,,,2012-08-20 16:51:58.465615
81,7,10463,Stone,,,,2012-08-20 16:51:58.490833
82,7,10473,Stone,,,,2012-08-20 16:51:58.515192
83,7,10474,Stone,,,,2012-08-20 16:51:58.540199
84,7,10475,Stone,,,,2012-08-20 16:51:58.565805
85,7,10477,Stone,,,,2012-08-20 16:51:58.590275
86,7,10478,Stone,,,,2012-08-20 16:51:58.719689
87,7,10479,Stone,,,,2012-08-20 16:51:58.749454
89,9,1498,Stone,,,,2012-08-27 12:59:40.62376
