id,name,description,md5hash,data_file_name,data_content_type,data_file_size,data_updated_at,original_geometry,affine_matrix,created_at,updated_at
8551,,,8cded50b1b07a68c0ed0cc1b4f59d29a,4-2-13L4A.JPG,image/jpeg,131260,2010-03-09 17:15:53.326998,640x480,,2008-12-15 21:17:14.822218,2010-03-09 17:15:53.326998
8554,,,39bbc4f7a8f8b622b7f180a8f26dcdb9,4-2-13L3A.JPG,image/jpeg,108011,2010-03-09 17:15:53.352995,640x480,,2008-12-15 21:17:15.138357,2010-03-09 17:15:53.352995
8557,,,1d031f055295fec2ef346201c3ed92b9,cellA_rotate.jpg,image/jpeg,43169,2010-03-09 17:15:53.362467,640x444,,2008-12-15 21:17:15.468883,2010-03-09 17:15:53.362467
8560,,,2cb02b3f9872c0abdf42fbb65e704f2e,cellB_rotate.jpg,image/jpeg,46357,2010-03-09 17:15:53.370957,640x444,,2008-12-15 21:17:15.761998,2010-03-09 17:15:53.370957
8563,,,5724f763afe7b774024775030d9adb95,4-2-13L2A.JPG,image/jpeg,111008,2010-03-09 17:15:53.379633,640x480,,2008-12-15 21:17:16.051074,2010-03-09 17:15:53.379633
8566,,,a9ef3b3ff7e8083f0135d7ae9eaad62b,4-2-13L1A.JPG,image/jpeg,120617,2010-03-09 17:15:53.388006,640x480,,2008-12-15 21:17:16.444097,2010-03-09 17:15:53.388006
8569,,,8a626fe6294de01154620511327ee857,1k768002.jpg,image/jpeg,86576,2010-03-09 17:15:53.396283,608x480,,2008-12-15 21:17:16.781077,2010-03-09 17:15:53.396283
8572,,,6fdc784b2d6d6045804fafade6a72b80,1k770001.jpg,image/jpeg,76857,2010-03-09 17:15:53.404425,608x480,,2008-12-15 21:17:17.081371,2010-03-09 17:15:53.404425
8575,,,1eb54e28fe31f0d3683b3bd36ecd98a5,takata_quarry.JPG,image/jpeg,108765,2010-03-09 17:15:53.412968,640x480,,2008-12-15 21:17:17.378298,2010-03-09 17:15:53.412968
8578,,,4e73053b35c6c33b85f316f6a8732ab5,IW10-2.JPG,image/jpeg,95077,2010-03-09 17:15:53.421287,640x480,,2008-12-15 21:17:17.677349,2010-03-09 17:15:53.421287
8581,,,b9f4bbf22b2300b31fd2af50b494deea,NS1.JPG,image/jpeg,119991,2010-03-09 17:15:53.429688,640x480,,2008-12-15 21:17:18.012476,2010-03-09 17:15:53.429688
8584,,,15223e2c71dc8926b72af529c7a48da6,IW10-cal.jpg,image/jpeg,15399,2010-03-09 17:15:53.437485,360x480,,2008-12-15 21:17:18.452191,2010-03-09 17:15:53.437485
8587,,,3d3e1c67fe78b580fdaa17e020a62102,NS1-cal-chn.JPG,image/jpeg,17275,2010-03-09 17:15:53.445901,360x480,,2008-12-15 21:17:18.681886,2010-03-09 17:15:53.445901
8590,,,637b1dc0dad29af2c55ab47421c0ece3,4-2-19.JPG,image/jpeg,108921,2010-03-09 17:15:53.454639,640x480,,2008-12-15 21:17:18.931493,2010-03-09 17:15:53.454639
8593,,,273889a63534488054e87d04288a01da,NS1-4-2-19.jpg,image/jpeg,52827,2010-03-09 17:15:53.462667,603x480,,2008-12-15 21:17:19.292166,2010-03-09 17:15:53.462667
8596,,,b521184499179504929ac659bde4f6b1,4-2-20.JPG,image/jpeg,106657,2010-03-09 17:15:53.471322,640x480,,2008-12-15 21:17:19.645102,2010-03-09 17:15:53.471322
