id,name,created_at,updated_at,conversion,html,text
1,parts,2014-03-24 00:00:00,2014-03-24 00:00:00,1,"",""
2,parts_per_cent,2014-03-24 00:00:00,2014-03-24 00:00:00,100,&#37;,ppc
3,parts_per_mille,2014-03-24 00:00:00,2014-03-24 00:00:00,1000,&#8240;,permil
4,parts_per_myriad,2014-03-24 00:00:00,2014-03-24 00:00:00,10000,&#8241;,permyriad
5,parts_per_milli,2014-03-24 00:00:00,2014-03-24 00:00:00,1000000,ppm,ppm
6,parts_per_billi,2014-03-24 00:00:00,2014-03-24 00:00:00,1000000000,ppb,ppb
7,gram_per_gram,2014-03-24 00:00:00,2014-03-24 00:00:00,1,g/g,g/g
8,centi_gram_per_gram,2014-03-24 00:00:00,2014-03-24 00:00:00,100,cg/g,cg/g
9,micro_gram_per_gram,2014-03-24 00:00:00,2014-03-24 00:00:00,1000000,&micro;g/g,ug/g
