id,name,parent_id,position,path,box_type_id,created_at,updated_at
819,shelf 6,140,0,/ISEI/Main building/PML Sample Storage,10,2010-03-24 09:27:25.350665,2012-12-28 09:38:14.70964
838,Plagioclase std,134,1,/ISEI/Main building/PML 5f Lab,11,2010-04-06 14:29:21.09672,2012-09-19 11:21:33.401298
846,shelf 1,875,1,/ISEI/Main building/DREAM Stockroom,10,2010-05-20 09:37:04.176562,2013-01-07 13:27:33.031949
848,shelf 3,875,1,/ISEI/Main building/DREAM Stockroom,10,2010-05-20 09:37:04.751876,2012-12-14 13:11:09.916805
849,shelf 4,875,1,/ISEI/Main building/DREAM Stockroom,10,2010-05-20 09:37:04.975511,2012-12-14 13:11:14.921673
850,shelf 5,875,1,/ISEI/Main building/DREAM Stockroom,10,2010-05-20 09:37:05.177561,2012-12-14 13:11:19.320073
867,DREAM 5019,849,1,/ISEI/Main building/DREAM Stockroom/shelf 4,11,2010-06-23 09:38:16.423085,2012-09-28 08:58:21.242625
874,Room B,136,348,/ISEI/Sample storage building,9,2010-09-02 09:27:06.840519,2011-01-04 16:23:59.817109
875,DREAM Stockroom,135,1,/ISEI/Main building,9,2010-09-02 09:49:24.124367,2012-10-03 15:43:04.836171
880,MW2008 Box4,848,1,/ISEI/Main building/106/shelf 3,11,2010-09-14 09:42:49.516463,2011-01-04 16:19:40.334428
882,PML2000 mineral,883,1,/ISEI/Main building/106/shelf 5/MW2008 Box1,11,2010-10-04 10:28:07.696063,2011-01-04 16:19:40.285316
883,MW2008 Box1,850,1,/ISEI/Main building/106/shelf 5,11,2010-10-04 10:32:47.507789,2011-01-04 16:19:40.35082
884,09seriese thin section,883,1,/ISEI/Main building/106/shelf 5/MW2008 Box1,11,2010-10-08 09:19:24.428089,2011-01-04 16:19:40.318719
893,KLB-1,134,55,/ISEI/Main building/PML 5f Lab,11,2010-10-27 09:26:07.336784,2012-05-25 18:41:13.246762
911,ref-gl-AbAn mount,955,1,/ISEI/Heaven,12,2010-12-03 10:07:05.076602,2011-05-16 12:14:42.026759
936,Room A,136,349,/ISEI/Sample storage building,9,2010-12-23 09:51:50.701453,2012-10-03 15:55:59.035956
955,Heaven,,76,"",9,2011-01-19 15:44:09.45118,2011-10-21 14:05:26.592415
956,Fukang olivine piece,367,77,/ISEI/Main building/PML 5f Lab/DREAM 3000,11,2011-01-19 16:45:54.747553,2012-06-27 10:50:57.654857
994,PML TEM Lab,135,1,/ISEI/Main building,9,2011-03-31 11:52:18.548135,2012-10-03 15:43:04.862407
1006,Clean bench 1270,139,1,/ISEI/Main building/PML 1270 Lab,11,2011-03-31 18:13:25.944695,2012-12-29 00:39:01.162293
1020,K001,1023,1,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,11,2011-04-15 10:27:08.185157,2012-05-08 18:29:23.548203
1023,Hayabusa 1,139,1,/ISEI/Main building/PML 1270 Lab,11,2011-04-15 10:56:25.220567,2011-04-15 10:57:13.487057
1037,mount-K001-b2,1023,1,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,12,2011-05-04 16:23:29.566684,2012-05-08 18:27:48.271809
1040,mount-K002-b,1023,1,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,12,2011-05-07 15:58:50.905936,2012-05-08 18:27:40.176887
1043,mount-E002-b,1023,84,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,12,2011-05-14 18:51:56.544571,2012-05-08 18:27:34.52992
1047,mount-E003-b,1023,85,/ISEI/Main building/PML 1270 Lab/Hayabusa 1,12,2011-05-18 19:41:45.671437,2012-05-08 18:27:24.590244
